Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.7921,0.0,0.7921,0.0693,0.8614,100.097,103.49,100.11,100.25,203.74,0,0,0.7467,1.0,-,,
2,sat,1,0,1,1,1,0.8218,0.0,0.8218,0.0495,0.8713,100.04,102.55,33.467,33.61,136.16,1,1,0.7467,1.0,-,"[2.0000e+00 7.1000e+01 1.0000e+00 9.0000e+00 1.1813e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 4.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 1.0000e+00 4.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00
 0.0000e+00 0.0000e+00]","[2.0000e+00 7.1000e+01 1.0000e+00 9.0000e+00 1.1813e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 4.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 1.0000e+00 4.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00
 0.0000e+00 0.0000e+00]"
3,unknown,1,0,2,1,0,0.6634,0.0,0.6634,0.0693,0.7327,38.444,43.24,100.164,100.42,143.65,0,0,0.7467,1.0,-,,
4,unknown,1,0,3,1,0,0.8317,0.0,0.8317,0.0396,0.8713,40.413,42.52,2.228,2.35,44.87,0,0,0.7467,1.0,-,,
