Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.0196,0.0,0.0196,0.098,0.1176,100.074,105.23,100.461,101.01,206.24,0,0,0.2021,1.0,-,,
2,unknown,0,0,2,1,0,0.1765,0.0,0.1765,0.0196,0.1961,100.198,101.91,100.244,100.68,202.59,0,0,0.2021,1.0,-,,
3,unknown,0,0,3,1,0,0.1373,0.0,0.1373,0.0784,0.2157,100.297,102.98,100.888,101.31,204.29,0,0,0.2021,1.0,-,,
4,unknown,0,0,4,1,0,0.1961,0.0,0.1961,0.0392,0.2353,100.182,102.45,100.113,100.88,203.33,0,0,0.2021,1.0,-,,
1,unknown,0,0,1,1,0,0.1961,0.0,0.1961,0.0196,0.2157,100.109,101.53,100.097,100.52,202.05,0,0,0.2021,1.0,-,,
2,unknown,0,0,2,1,0,0.1765,0.0,0.1765,0.0784,0.2549,100.04,102.19,100.641,101.06,203.25,0,0,0.2021,1.0,-,,
3,unknown,0,0,3,1,0,0.0196,0.0,0.0196,0.098,0.1176,100.951,104.49,100.265,100.74,205.23,0,0,0.2021,1.0,-,,
4,unknown,0,0,4,1,0,0.1373,0.0,0.1373,0.0784,0.2157,100.371,102.51,100.059,100.49,202.99,0,0,0.2021,1.0,-,,
