Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.2,0.0,0.2,0.0,0.2,100.025,100.76,100.041,100.14,200.9,0,0,0.2021,1.0,-,,
2,sat,1,0,1,1,1,0.1,0.0,0.1,0.2,0.3,100.054,100.94,58.709,58.8,159.75,1,1,0.2021,1.0,-,"[100.   1.   3.  76.  23.  41.  76.  53.   7.  72.  19.  68.  25.   0.
  64.  68.  43.   0.   0.  26.]","[100.   2.   3.  76.  23.  41.  76.  53.   7.  72.  19.  68.  25.   0.
  64.  68.  43.   0.   0.  26.]"
3,sat,2,0,1,0,0,0.2,0.0,0.2,0,0.2,44.808,45.53,0,0.0,45.53,1,1,0.2021,1.0,-,"[300.   1.   4.  76.   0.   1.   0.  68.   0.  76.  76.  70.  75.   1.
   0.  71.   0.   0.   0.  39.]","[300.   0.   4.  76.   0.   1.   0.  68.   0.  76.  76.  70.  75.   1.
   0.  71.   0.   0.   0.  39.]"
4,unknown,2,0,2,1,0,0.0,0.0,0.0,0.0,0.0,100.045,101.04,100.092,100.21,201.25,0,0,0.2021,1.0,-,,
