Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.0909,0.0,0.0909,0,0.0909,32.363,33.34,0,0.0,33.34,1,1,0.2021,1.0,-,"[200.   0.   0.   0.   0.   0.   0.   7.   0.  76.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]","[200.  76.   0.   0.   0.   0.   0.   7.   0.  76.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]"
2,unsat,1,1,0,1,1,0.0909,0.0,0.0909,0.3636,0.4545,100.027,101.0,3.699,3.76,104.76,0,0,0.2021,1.0,-,,
3,unsat,1,2,0,1,1,0.1818,0.0,0.1818,0.3636,0.5455,100.006,100.91,0.856,0.91,101.82,0,0,0.2021,1.0,-,,
4,unsat,1,3,0,1,1,0.0,0.0,0.0,0.3636,0.3636,100.03,101.05,7.511,7.6,108.64,0,0,0.2021,1.0,-,,
