Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.2277,0.0,0.2277,0.1386,0.3663,100.361,109.43,100.414,101.13,210.56,0,0,0.2021,1.0,-,,
2,unknown,0,0,2,1,0,0.2079,0.0,0.2079,0.1188,0.3267,100.601,108.73,100.715,101.46,210.19,0,0,0.2021,1.0,-,,
3,unknown,0,0,3,1,0,0.2574,0.0,0.2574,0.1683,0.4257,100.48,110.76,100.128,100.76,211.52,0,0,0.2021,1.0,-,,
4,unknown,0,0,4,1,0,0.0099,0.0,0.0099,0.198,0.2079,100.657,115.45,100.524,101.42,216.88,0,0,0.2021,1.0,-,,
